,year,month,rainy_days,total_rainfall,max_daily_rainfall,mean_rh,min_daily_temp,max_daily_temp,mean_sunshine_hrs,extr_max_temp,extr_min_temp
122,1992,3,6,67.6,35.1,80.6,25.0,33.0,7.4,34.7,22.9
123,1992,4,13,160.3,94.7,82.4,25.1,32.9,6.4,34.6,22.5
124,1992,5,13,63.1,13.7,83.3,25.1,32.5,5.7,34.1,23.5
125,1992,6,14,162.8,38.4,82.7,24.9,32.0,5.5,33.6,21.1
126,1992,7,19,290.8,97.3,83.8,24.2,30.9,4.7,33.5,22.1
127,1992,8,11,76.1,31.0,81.1,24.3,31.4,5.7,33.6,21.7
128,1992,9,13,83.6,17.5,82.9,24.5,31.5,5.0,34.0,22.9
129,1992,10,20,233.2,45.5,82.0,24.3,31.4,4.5,32.9,22.9
130,1992,11,18,474.3,120.6,87.7,23.7,30.0,3.7,32.0,22.5
131,1992,12,23,502.7,105.7,90.3,23.4,29.2,3.4,31.4,22.2
132,1993,1,11,176.4,37.2,85.7,23.8,29.9,5.5,31.6,21.9
133,1993,2,8,69.2,27.0,80.5,23.8,31.4,8.5,32.7,22.7
134,1993,3,14,250.5,56.9,86.3,24.0,30.7,5.4,32.2,22.3
135,1993,4,20,283.9,56.7,84.5,24.4,31.9,6.4,33.5,21.7
136,1993,5,10,129.9,37.2,82.9,25.4,31.9,6.0,34.2,22.5
137,1993,6,17,115.5,29.4,80.9,25.4,31.9,6.2,33.3,22.7
138,1993,7,15,240.0,46.4,83.2,25.2,31.1,5.2,32.8,22.5
139,1993,8,11,106.8,53.5,79.4,25.4,32.1,7.4,33.9,22.0
140,1993,9,7,61.7,42.0,81.4,24.9,31.7,5.9,33.2,22.7
141,1993,10,13,175.5,62.7,84.3,24.7,31.6,5.2,33.2,22.5
142,1993,11,18,250.8,61.3,87.4,24.2,30.9,4.7,32.5,22.7
143,1993,12,19,308.5,67.6,87.4,24.0,30.3,4.2,32.9,22.4
144,1994,1,7,56.9,17.5,82.1,24.1,30.9,6.1,32.4,23.1
145,1994,2,15,133.5,26.3,84.5,24.0,31.6,6.4,32.5,22.6
146,1994,3,19,288.2,64.2,87.1,24.2,30.5,3.5,32.2,22.9
147,1994,4,15,154.0,46.3,84.8,24.8,31.9,5.8,33.6,23.2
148,1994,5,16,169.6,45.1,84.8,25.1,31.1,5.0,32.6,22.6
149,1994,6,14,184.7,61.1,83.5,25.2,31.3,6.0,33.1,22.2
150,1994,7,6,53.8,17.0,78.9,25.7,31.6,7.6,32.7,20.5
151,1994,8,12,45.1,15.5,80.0,25.2,31.9,6.5,32.9,22.5
152,1994,9,6,23.7,11.3,78.7,25.5,31.9,3.8,34.1,22.0
153,1994,10,11,84.7,35.4,81.5,24.6,32.1,4.5,34.2,22.7
154,1994,11,21,322.2,178.3,88.4,24.0,30.5,4.5,32.5,22.4
155,1994,12,18,425.4,133.8,85.5,24.1,30.7,5.3,32.6,22.0
156,1995,1,21,349.4,108.3,86.2,24.1,30.6,5.0,32.8,21.8
157,1995,2,16,334.0,159.3,87.5,23.9,29.9,4.9,32.4,22.6
158,1995,3,10,67.7,31.1,83.9,24.6,31.8,5.9,33.2,23.1
159,1995,4,16,242.3,73.6,85.3,25.0,32.0,5.6,33.5,23.5
160,1995,5,11,84.4,32.8,83.7,25.6,32.3,6.0,34.0,23.2
161,1995,6,12,63.7,45.0,81.9,25.8,32.7,6.6,34.0,24.3
162,1995,7,13,173.6,52.3,82.6,25.2,31.2,5.2,33.0,22.8
163,1995,8,21,211.6,37.9,85.6,24.6,30.6,4.1,32.4,22.8
164,1995,9,7,29.5,5.7,81.6,25.1,32.0,5.8,33.0,22.6
165,1995,10,12,101.1,37.1,82.8,24.8,32.1,4.7,34.1,22.9
166,1995,11,20,372.8,198.6,86.8,24.1,31.0,3.7,33.3,22.5
167,1995,12,20,302.5,55.6,86.6,23.9,29.5,3.1,32.5,22.5
168,1996,1,10,173.2,39.0,84.2,23.4,30.1,5.2,32.5,22.1
169,1996,2,11,180.2,53.0,84.6,24.0,30.2,5.8,32.0,22.3
170,1996,3,8,129.7,61.8,81.0,24.5,32.4,7.7,34.4,22.2
171,1996,4,15,178.2,55.7,85.5,24.9,31.7,5.4,33.6,23.2
172,1996,5,15,107.5,18.6,83.7,25.2,32.4,7.0,33.3,22.9
173,1996,6,15,265.8,94.3,84.3,25.3,32.0,5.9,33.9,22.1
174,1996,7,10,162.3,55.3,81.9,25.4,31.5,6.7,33.3,22.1
175,1996,8,18,258.4,64.6,83.4,24.3,31.4,5.0,33.1,22.3
176,1996,9,18,297.0,66.5,82.2,24.6,31.1,4.8,33.2,22.3
177,1996,10,19,300.0,45.8,83.0,24.4,31.2,4.3,33.1,22.9
178,1996,11,16,180.2,60.5,83.5,24.6,31.5,4.4,33.6,22.4
179,1996,12,15,185.5,72.4,82.9,23.9,30.7,4.5,33.0,22.6
180,1997,1,3,15.4,13.9,77.3,24.0,31.5,7.7,33.3,23.1
181,1997,2,8,105.4,35.7,80.8,24.5,31.9,4.9,33.7,22.3
182,1997,3,10,34.3,17.4,79.6,24.9,32.8,7.0,34.2,23.7
183,1997,4,12,118.4,44.6,82.7,25.0,32.5,5.6,34.4,22.3
184,1997,5,6,41.6,35.6,77.7,26.3,33.6,6.7,35.1,24.7
185,1997,6,12,78.9,25.0,76.7,26.0,33.2,7.3,34.7,23.6
186,1997,7,9,18.6,5.4,76.5,26.0,32.4,6.5,34.0,23.6
187,1997,8,9,86.6,61.4,78.2,25.9,32.6,5.7,34.0,22.0
188,1997,9,3,31.1,24.3,77.0,26.3,32.2,3.2,33.8,24.1
189,1997,10,8,78.4,36.5,81.0,25.1,32.4,3.2,34.5,22.8
190,1997,11,13,158.3,53.6,82.8,24.8,32.0,5.4,33.7,23.5
191,1997,12,23,351.9,65.8,85.3,24.6,31.3,5.3,32.9,23.0
192,1998,1,13,268.8,79.7,83.2,25.3,31.8,7.4,33.6,23.5
193,1998,2,5,32.5,11.9,78.3,25.9,33.1,8.9,34.6,24.3
194,1998,3,7,58.8,20.9,77.8,26.3,34.1,7.6,36.0,24.4
195,1998,4,13,187.7,64.9,81.8,26.3,33.1,6.7,34.8,24.2
196,1998,5,18,370.8,83.7,82.3,26.3,33.1,5.9,34.8,24.5
197,1998,6,15,198.8,42.8,82.1,25.4,32.4,5.3,34.7,22.9
198,1998,7,18,259.2,55.8,81.8,24.9,31.5,5.1,33.6,22.7
199,1998,8,18,195.0,35.5,85.4,24.7,30.9,4.6,32.8,23.2
200,1998,9,17,258.2,52.0,84.1,24.9,31.1,4.5,33.1,22.7
201,1998,10,20,222.7,32.4,82.3,24.6,31.9,5.0,34.5,22.5
202,1998,11,11,107.2,57.5,81.9,24.9,31.7,4.6,34.1,23.4
